Brand,name,Display,Processor,Weight,Memory,Ram,img-url,Price,URL,Number rating,Average rating
MacBook,MacBook Air M1 2020 7-core GPU,"13.3"",Retina",Apple M1,1.29 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/231244/TimerThumb/apple-macbook-air-2020-mgn63saa-(71).jpg,18550000.0,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,126.0,4.5
Lenovo,Lenovo Ideapad 3 15IAU7 i3 1215U (82RK005LVN),"15.6"",FullHD","i3, 1215U, 1.2GHz",1.63 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/287769/TimerThumb/lenovo-ideapad-3-15iau7-i3-82rk005lvn-(14).jpg,10990000.0,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk005lvn,42.0,4.5
HP,HP 15s fq2716TU i3 1115G4 (7C0X3PA),"15.6"",FullHD","i3, 1115G4, 3GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/301634/TimerThumb/hp-15s-fq2716tu-i3-7c0x3pa-(4).jpg,10990000.0,https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa,41.0,4.3
Acer,Acer Aspire 3 A315 58 54XF i5 1135G7 (NX.AM0SV.007),"15.6"",FullHD","i5, 1135G7, 2.4GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285764/TimerThumb/285764.png,13690000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007,15.0,4.5
Dell,Dell Vostro 3510 i5 1135G7 (P112F002BBL),"15.6"",FullHD","i5, 1135G7, 2.4GHz",1.69 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/266280/TimerThumb/dell-vostro-3510-i5-p112f002bbl-(16).jpg,17690000.0,https://www.thegioididong.com/laptop/dell-vostro-3510-i5-p112f002bbl,47.0,3.9
MacBook,MacBook Air M2 2022 8-core GPU,"13.6"",Retina","Apple M2, 100GB/s",1.24 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/282827/TimerThumb/apple-macbook-air-m2-2022-(39).jpg,25690000.0,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,35.0,4.8
Asus,Asus VivoBook 15X OLED A1503ZA i5 12500H (L1290W),"15.6"",FullHD","i5, 12500H, 2.5GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/284257/TimerThumb/asus-vivobook-15x-oled-a1503za-i5-l1290w-(12).jpg,17490000.0,https://www.thegioididong.com/laptop/asus-vivobook-15x-oled-a1503za-i5-l1290w,93.0,4.6
Lenovo,Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN),"15.6"",FullHD","Ryzen 5, 7520U, 2.8GHz",1.58 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/303562/TimerThumb/303562.png,10990000.0,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn,29.0,4.1
HP,HP 240 G8 i3 1115G4 (6L1A1PA),"14"",FullHD","i3, 1115G4, 3GHz",1.47 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285962/TimerThumb/hp-240-g8-i3-6l1a1pa.jpg,10690000.0,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,28.0,4.1
Lenovo,Lenovo Ideapad 3 15IAU7 i3 1215U (82RK001MVN),"15.6"",FullHD","i3, 1215U, 1.2GHz",1.63 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/287770/TimerThumb/lenovo-ideapad-3-15iau7-i3-82rk001mvn-(6).jpg,11890000.0,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk001mvn,25.0,4.2
